id,time,values
3,2023:08:21 00:51:46,878.4
1,2023:08:21 00:52:16,872.8
2,2023:08:21 00:52:16,342.2
3,2023:08:21 00:52:16,900.8
1,2023:08:21 00:52:46,549.0
2,2023:08:21 00:52:46,25.6
3,2023:08:21 00:52:46,400.4
1,2023:08:21 00:53:16,31.6
2,2023:08:21 00:53:16,803.2
3,2023:08:21 00:53:16,80.8
1,2023:08:21 00:53:46,132.4
2,2023:08:21 00:53:46,108.6
3,2023:08:21 00:53:46,500.2
1,2023:08:21 00:54:16,979.6
2,2023:08:21 00:54:16,385.4
3,2023:08:21 00:54:16,150.6
1,2023:08:21 00:54:46,581.8
2,2023:08:21 00:54:46,519.6
3,2023:08:21 00:54:46,563.6
1,2023:08:21 00:55:16,617.0
2,2023:08:21 00:55:16,33.8
3,2023:08:21 00:55:16,792.0
1,2023:08:21 00:55:46,623.8
2,2023:08:21 00:55:46,346.0
3,2023:08:21 00:55:46,195.2
1,2023:08:21 00:56:16,497.4
2,2023:08:21 00:56:16,965.6
3,2023:08:21 00:56:16,999.6
1,2023:08:21 00:56:46,861.4
2,2023:08:21 00:56:46,555.0
3,2023:08:21 00:56:46,953.8
1,2023:08:21 00:57:16,122.8
2,2023:08:21 00:57:16,171.2
3,2023:08:21 00:57:16,154.2
1,2023:08:21 00:57:46,918.0
2,2023:08:21 00:57:46,890.4
3,2023:08:21 00:57:46,361.2
1,2023:08:21 00:58:16,214.6
2,2023:08:21 00:58:16,393.2
3,2023:08:21 00:58:16,95.8
1,2023:08:21 00:58:46,259.6
2,2023:08:21 00:58:46,370.4
3,2023:08:21 00:58:46,495.2
1,2023:08:21 00:59:16,953.8
2,2023:08:21 00:59:16,58.0
3,2023:08:21 00:59:16,823.6
1,2023:08:21 00:59:46,117.4
2,2023:08:21 00:59:46,84.4
3,2023:08:21 00:59:46,683.4
1,2023:08:21 01:00:16,150.0
2,2023:08:21 01:00:16,634.6
3,2023:08:21 01:00:16,46.8
1,2023:08:21 01:00:46,852.2
2,2023:08:21 01:00:46,296.8
3,2023:08:21 01:00:46,532.2
1,2023:08:21 01:01:16,759.2
2,2023:08:21 01:01:16,139.2
3,2023:08:21 01:01:16,304.0
1,2023:08:21 01:01:46,361.6
2,2023:08:21 01:01:46,618.0
3,2023:08:21 01:01:46,792.8
1,2023:08:21 01:02:16,988.8
2,2023:08:21 01:02:16,98.6
3,2023:08:21 01:02:16,793.6
1,2023:08:21 01:02:46,553.4
2,2023:08:21 01:02:46,470.8
3,2023:08:21 01:02:46,692.6
1,2023:08:21 01:03:16,268.6
2,2023:08:21 01:03:16,51.4
3,2023:08:21 01:03:16,190.6
1,2023:08:21 01:03:46,627.6
2,2023:08:21 01:03:46,521.2
3,2023:08:21 01:03:46,62.6
1,2023:08:21 01:04:16,989.2
2,2023:08:21 01:04:16,259.0
3,2023:08:21 01:04:16,923.6
1,2023:08:21 01:04:46,333.4
2,2023:08:21 01:04:46,793.8
3,2023:08:21 01:04:46,950.4
1,2023:08:21 01:05:16,487.4
2,2023:08:21 01:05:16,198.0
3,2023:08:21 01:05:16,453.0
1,2023:08:21 01:05:46,87.2
2,2023:08:21 01:05:46,136.0
3,2023:08:21 01:05:46,69.8
1,2023:08:21 01:06:16,82.0
2,2023:08:21 01:06:16,402.4
3,2023:08:21 01:06:16,504.8
1,2023:08:21 01:06:46,267.4
2,2023:08:21 01:06:46,984.0
3,2023:08:21 01:06:46,860.4
1,2023:08:21 01:07:16,762.2
2,2023:08:21 01:07:16,438.4
3,2023:08:21 01:07:16,720.0
1,2023:08:21 01:07:46,269.2
2,2023:08:21 01:07:46,873.4
3,2023:08:21 01:07:46,623.8
1,2023:08:21 01:08:16,557.8
2,2023:08:21 01:08:16,97.0
3,2023:08:21 01:08:16,275.6
1,2023:08:21 01:08:46,984.8
2,2023:08:21 01:08:46,391.6
3,2023:08:21 01:08:46,876.8
1,2023:08:21 01:09:16,282.8
2,2023:08:21 01:09:16,924.4
3,2023:08:21 01:09:16,571.6
1,2023:08:21 01:09:46,187.4
2,2023:08:21 01:09:46,947.6
3,2023:08:21 01:09:46,623.4
1,2023:08:21 01:10:16,426.4
2,2023:08:21 01:10:16,913.0
3,2023:08:21 01:10:16,118.8
1,2023:08:21 01:10:46,246.4
2,2023:08:21 01:10:46,809.2
3,2023:08:21 01:10:46,312.2
1,2023:08:21 01:11:16,245.8
2,2023:08:21 01:11:16,764.0
3,2023:08:21 01:11:16,316.2
1,2023:08:21 01:11:46,501.2
2,2023:08:21 01:11:46,555.8
3,2023:08:21 01:11:46,642.0
1,2023:08:21 01:12:16,645.4
2,2023:08:21 01:12:16,222.0
3,2023:08:21 01:12:16,997.2
1,2023:08:21 01:12:46,979.4
2,2023:08:21 01:12:46,844.2
3,2023:08:21 01:12:46,368.4
1,2023:08:21 01:13:16,948.0
2,2023:08:21 01:13:16,919.8
3,2023:08:21 01:13:16,993.8
1,2023:08:21 01:13:46,138.8
2,2023:08:21 01:13:46,184.8
3,2023:08:21 01:13:46,636.2
1,2023:08:21 01:14:16,373.6
2,2023:08:21 01:14:16,109.2
3,2023:08:21 01:14:16,8.2
1,2023:08:21 01:14:46,47.6
2,2023:08:21 01:14:46,252.2
3,2023:08:21 01:14:46,829.0
1,2023:08:21 01:15:16,883.6
2,2023:08:21 01:15:16,992.4
3,2023:08:21 01:15:16,272.2
1,2023:08:21 01:15:46,677.8
2,2023:08:21 01:15:46,286.6
3,2023:08:21 01:15:46,335.0
1,2023:08:21 01:16:16,994.4
2,2023:08:21 01:16:16,381.0
3,2023:08:21 01:16:16,457.2
1,2023:08:21 01:16:46,911.8
2,2023:08:21 01:16:46,943.8
3,2023:08:21 01:16:46,946.8
1,2023:08:21 01:17:16,642.4
2,2023:08:21 01:17:16,54.0
3,2023:08:21 01:17:16,239.6
1,2023:08:21 01:17:46,22.2
2,2023:08:21 01:17:46,473.6
3,2023:08:21 01:17:46,810.2
1,2023:08:21 01:18:16,24.0
2,2023:08:21 01:18:16,46.8
3,2023:08:21 01:18:16,255.6
1,2023:08:21 01:18:46,812.2
2,2023:08:21 01:18:46,95.0
3,2023:08:21 01:18:46,296.6
1,2023:08:21 01:19:16,93.4
2,2023:08:21 01:19:16,247.2
3,2023:08:21 01:19:16,812.6
1,2023:08:21 01:19:46,41.4
2,2023:08:21 01:19:46,82.4
3,2023:08:21 01:19:46,21.0
1,2023:08:21 01:20:16,351.4
2,2023:08:21 01:20:16,994.8
3,2023:08:21 01:20:16,70.6
1,2023:08:21 01:20:46,61.2
2,2023:08:21 01:20:46,657.8
3,2023:08:21 01:20:46,769.4
1,2023:08:21 01:21:16,159.6
2,2023:08:21 01:21:16,251.0
3,2023:08:21 01:21:16,971.0
1,2023:08:21 01:21:46,732.0
2,2023:08:21 01:21:46,884.2
3,2023:08:21 01:21:46,361.6
1,2023:08:21 01:22:16,266.6
2,2023:08:21 01:22:16,262.2
3,2023:08:21 01:22:16,804.0
1,2023:08:21 01:22:46,784.8
2,2023:08:21 01:22:46,665.4
3,2023:08:21 01:22:46,69.4
1,2023:08:21 01:23:16,719.0
2,2023:08:21 01:23:16,330.8
3,2023:08:21 01:23:16,936.6
1,2023:08:21 01:23:46,150.4
2,2023:08:21 01:23:46,239.8
3,2023:08:21 01:23:46,161.8
1,2023:08:21 01:24:16,126.4
2,2023:08:21 01:24:16,72.8
3,2023:08:21 01:24:16,580.0
1,2023:08:21 01:24:46,511.6
2,2023:08:21 01:24:46,293.4
3,2023:08:21 01:24:46,241.6
1,2023:08:21 01:25:16,990.2
2,2023:08:21 01:25:16,818.8
3,2023:08:21 01:25:16,689.2
1,2023:08:21 01:25:46,728.8
2,2023:08:21 01:25:46,328.6
3,2023:08:21 01:25:46,113.4
1,2023:08:21 01:26:16,267.0
2,2023:08:21 01:26:16,12.0
3,2023:08:21 01:26:16,7.4
1,2023:08:21 01:26:46,272.4
2,2023:08:21 01:26:46,648.2
3,2023:08:21 01:26:46,931.8
1,2023:08:21 01:27:16,673.6
2,2023:08:21 01:27:16,862.8
3,2023:08:21 01:27:16,914.8
1,2023:08:21 01:27:46,957.2
2,2023:08:21 01:27:46,75.2
3,2023:08:21 01:27:46,53.6
1,2023:08:21 01:28:16,7.0
2,2023:08:21 01:28:16,986.0
3,2023:08:21 01:28:16,741.2
1,2023:08:21 01:28:46,603.4
2,2023:08:21 01:28:46,33.8
3,2023:08:21 01:28:46,377.8
1,2023:08:21 01:29:16,996.2
2,2023:08:21 01:29:16,111.0
3,2023:08:21 01:29:16,90.0
1,2023:08:21 01:29:46,546.2
2,2023:08:21 01:29:46,255.8
3,2023:08:21 01:29:46,547.0
1,2023:08:21 01:30:16,729.6
2,2023:08:21 01:30:16,26.0
3,2023:08:21 01:30:16,77.8
1,2023:08:21 01:30:46,248.4
2,2023:08:21 01:30:46,271.4
3,2023:08:21 01:30:46,442.0
1,2023:08:21 01:31:16,853.8
2,2023:08:21 01:31:16,94.0
3,2023:08:21 01:31:16,455.4
1,2023:08:21 01:31:46,978.2
2,2023:08:21 01:31:46,304.2
3,2023:08:21 01:31:46,62.4
1,2023:08:21 01:32:16,673.8
2,2023:08:21 01:32:16,913.8
3,2023:08:21 01:32:16,349.2
1,2023:08:21 01:32:46,34.6
2,2023:08:21 01:32:46,323.4
3,2023:08:21 01:32:46,49.4
1,2023:08:21 01:33:16,905.6
2,2023:08:21 01:33:16,361.4
3,2023:08:21 01:33:16,296.8
1,2023:08:21 01:33:46,971.2
2,2023:08:21 01:33:46,28.8
3,2023:08:21 01:33:46,455.8
1,2023:08:21 01:34:16,574.6
2,2023:08:21 01:34:16,174.4
3,2023:08:21 01:34:16,929.4
1,2023:08:21 01:34:46,844.6
2,2023:08:21 01:34:46,831.2
3,2023:08:21 01:34:46,609.6
1,2023:08:21 01:35:16,108.6
2,2023:08:21 01:35:16,266.4
3,2023:08:21 01:35:16,392.2
1,2023:08:21 01:35:46,458.6
2,2023:08:21 01:35:46,792.6
3,2023:08:21 01:35:46,608.0
1,2023:08:21 01:36:16,499.4
2,2023:08:21 01:36:16,673.8
3,2023:08:21 01:36:16,323.0
1,2023:08:21 01:36:46,57.4
2,2023:08:21 01:36:46,249.6
3,2023:08:21 01:36:46,330.0
1,2023:08:21 01:37:16,728.6
2,2023:08:21 01:37:16,670.4
3,2023:08:21 01:37:16,195.0
1,2023:08:21 01:37:46,845.0
2,2023:08:21 01:37:46,363.0
3,2023:08:21 01:37:46,54.6
1,2023:08:21 01:38:16,151.8
2,2023:08:21 01:38:16,649.0
3,2023:08:21 01:38:16,843.6
1,2023:08:21 01:38:46,146.2
2,2023:08:21 01:38:46,752.8
3,2023:08:21 01:38:46,352.2
1,2023:08:21 01:39:16,447.6
2,2023:08:21 01:39:16,273.6
3,2023:08:21 01:39:16,144.4
1,2023:08:21 01:39:46,181.6
2,2023:08:21 01:39:46,544.2
3,2023:08:21 01:39:46,723.8
1,2023:08:21 01:40:16,590.0
2,2023:08:21 01:40:16,942.0
3,2023:08:21 01:40:16,607.2
1,2023:08:21 01:40:46,6.6
2,2023:08:21 01:40:46,223.4
3,2023:08:21 01:40:46,246.0
1,2023:08:21 01:41:16,233.0
2,2023:08:21 01:41:16,28.8
3,2023:08:21 01:41:16,64.8
1,2023:08:21 01:41:46,330.0
2,2023:08:21 01:41:46,446.6
3,2023:08:21 01:41:46,615.8
1,2023:08:21 01:42:16,585.8
2,2023:08:21 01:42:16,792.4
3,2023:08:21 01:42:16,164.2
1,2023:08:21 01:42:46,978.8
2,2023:08:21 01:42:46,440.8
3,2023:08:21 01:42:46,706.2
1,2023:08:21 01:43:16,200.4
2,2023:08:21 01:43:16,105.0
3,2023:08:21 01:43:16,729.8
1,2023:08:21 01:43:46,268.8
2,2023:08:21 01:43:46,91.0
3,2023:08:21 01:43:46,784.8
1,2023:08:21 01:44:16,539.8
2,2023:08:21 01:44:16,271.0
3,2023:08:21 01:44:16,895.6
1,2023:08:21 01:44:46,999.8
2,2023:08:21 01:44:46,791.8
3,2023:08:21 01:44:46,341.0
1,2023:08:21 01:45:16,655.8
2,2023:08:21 01:45:16,704.8
3,2023:08:21 01:45:16,897.6
1,2023:08:21 01:45:46,588.2
2,2023:08:21 01:45:46,701.4
3,2023:08:21 01:45:46,661.4
1,2023:08:21 01:46:16,284.4
2,2023:08:21 01:46:16,604.4
3,2023:08:21 01:46:16,808.0
1,2023:08:21 01:46:46,27.8
2,2023:08:21 01:46:46,502.0
3,2023:08:21 01:46:46,445.8
1,2023:08:21 01:47:16,206.4
2,2023:08:21 01:47:16,251.4
3,2023:08:21 01:47:16,71.8
1,2023:08:21 01:47:46,628.0
2,2023:08:21 01:47:46,804.2
3,2023:08:21 01:47:46,256.0
1,2023:08:21 01:48:16,139.6
2,2023:08:21 01:48:16,607.2
3,2023:08:21 01:48:16,723.2
1,2023:08:21 01:48:46,238.8
2,2023:08:21 01:48:46,745.0
3,2023:08:21 01:48:46,618.4
1,2023:08:21 01:49:16,711.2
2,2023:08:21 01:49:16,486.8
3,2023:08:21 01:49:16,562.0
1,2023:08:21 01:49:46,102.6
2,2023:08:21 01:49:46,752.2
3,2023:08:21 01:49:46,343.4
1,2023:08:21 01:50:16,579.0
2,2023:08:21 01:50:16,998.2
3,2023:08:21 01:50:16,626.0
1,2023:08:21 01:50:46,25.0
2,2023:08:21 01:50:46,23.0
3,2023:08:21 01:50:46,617.8
1,2023:08:21 01:51:16,716.6
2,2023:08:21 01:51:16,129.2
3,2023:08:21 01:51:16,98.4
1,2023:08:21 01:51:46,287.8
2,2023:08:21 01:51:46,578.6
3,2023:08:21 01:51:46,60.4
1,2023:08:21 01:52:16,188.4
2,2023:08:21 01:52:16,631.4
3,2023:08:21 01:52:16,722.6
1,2023:08:21 01:52:46,348.2
2,2023:08:21 01:52:46,434.2
3,2023:08:21 01:52:46,503.6
1,2023:08:21 01:53:16,941.6
2,2023:08:21 01:53:16,813.2
3,2023:08:21 01:53:16,862.6
1,2023:08:21 01:53:46,129.0
2,2023:08:21 01:53:46,273.4
3,2023:08:21 01:53:46,514.2
1,2023:08:21 01:54:16,661.2
2,2023:08:21 01:54:16,706.6
3,2023:08:21 01:54:16,315.0
1,2023:08:21 01:54:46,848.4
2,2023:08:21 01:54:46,670.0
3,2023:08:21 01:54:46,36.6
1,2023:08:21 01:55:16,668.4
2,2023:08:21 01:55:16,571.2
3,2023:08:21 01:55:16,240.0
1,2023:08:21 01:55:46,484.6
2,2023:08:21 01:55:46,679.0
3,2023:08:21 01:55:46,307.4
1,2023:08:21 01:56:16,182.8
2,2023:08:21 01:56:16,123.4
3,2023:08:21 01:56:16,12.4
1,2023:08:21 01:56:46,180.2
2,2023:08:21 01:56:46,412.4
3,2023:08:21 01:56:46,7.8
1,2023:08:21 01:57:16,810.2
2,2023:08:21 01:57:16,863.0
3,2023:08:21 01:57:16,344.0
1,2023:08:21 01:57:46,312.2
2,2023:08:21 01:57:46,491.0
3,2023:08:21 01:57:46,608.0
1,2023:08:21 01:58:16,862.0
2,2023:08:21 01:58:16,730.2
3,2023:08:21 01:58:16,969.6
1,2023:08:21 01:58:46,690.0
2,2023:08:21 01:58:46,814.6
3,2023:08:21 01:58:46,428.8
1,2023:08:21 01:59:16,675.0
2,2023:08:21 01:59:16,99.0
3,2023:08:21 01:59:16,851.6
1,2023:08:21 01:59:46,737.6
2,2023:08:21 01:59:46,270.8
3,2023:08:21 01:59:46,850.6
1,2023:08:21 02:00:16,901.2
2,2023:08:21 02:00:16,495.6
3,2023:08:21 02:00:16,985.8
1,2023:08:21 02:00:46,716.2
2,2023:08:21 02:00:46,75.4
3,2023:08:21 02:00:46,641.8
1,2023:08:21 02:01:16,138.6
2,2023:08:21 02:01:16,113.2
3,2023:08:21 02:01:16,884.2
1,2023:08:21 02:01:46,774.8
2,2023:08:21 02:01:46,324.2
3,2023:08:21 02:01:46,37.0
1,2023:08:21 02:02:16,883.0
2,2023:08:21 02:02:16,566.6
3,2023:08:21 02:02:16,973.8
1,2023:08:21 02:02:46,661.4
2,2023:08:21 02:02:46,927.6
3,2023:08:21 02:02:46,146.4
1,2023:08:21 02:03:16,936.4
2,2023:08:21 02:03:16,738.0
3,2023:08:21 02:03:16,214.6
1,2023:08:21 02:03:46,917.8
2,2023:08:21 02:03:46,247.8
3,2023:08:21 02:03:46,864.0
1,2023:08:21 02:04:16,805.0
2,2023:08:21 02:04:16,30.8
3,2023:08:21 02:04:16,679.6
1,2023:08:21 02:04:46,375.2
2,2023:08:21 02:04:46,912.8
3,2023:08:21 02:04:46,216.0
1,2023:08:21 02:05:16,151.2
2,2023:08:21 02:05:16,965.2
3,2023:08:21 02:05:16,791.8
1,2023:08:21 02:05:46,164.2
2,2023:08:21 02:05:46,764.2
3,2023:08:21 02:05:46,263.8
1,2023:08:21 02:06:16,504.8
2,2023:08:21 02:06:16,506.0
3,2023:08:21 02:06:16,638.6
1,2023:08:21 02:06:46,837.2
2,2023:08:21 02:06:46,477.0
3,2023:08:21 02:06:46,607.2
1,2023:08:21 02:07:16,420.4
2,2023:08:21 02:07:16,136.2
3,2023:08:21 02:07:16,942.8
1,2023:08:21 02:07:46,170.4
2,2023:08:21 02:07:46,744.0
3,2023:08:21 02:07:46,620.8
1,2023:08:21 02:08:16,844.4
2,2023:08:21 02:08:16,607.4
3,2023:08:21 02:08:16,516.6
1,2023:08:21 02:08:46,106.8
